Emotion,Sentence
Other,"Nhiều bạn yêu cầu anime quá, bạn còn phim nào đề xuất mình nhé"
Sadness,"ngày xưa tôi luôn thích xem anime bởi mỗi một bộ phim là một câu chuyện rất cảm động, hồi đấy chỉ xem rồi cười thôi nhưng giờ xem rồi lại buồn"
Enjoyment,Và cái này gần tương đương với yêu nhau trên mạng :))))
Sadness,"Mình đã koi phim này rất nhiều lần
Những mình vẫn ko thể ngừng khóc"
Other,Cho mik xin tên anime để xem từ từ đc hong 😶🥺
Other,Bộ phim rừng dom đố mình tìm hoài ko thấy nhỉ
Enjoyment,BỘ PHIM HAY QUÁ
Sadness,😢😢😢😢
Enjoyment,Hay quá đi à 🌋🌋🌋❤️❤️❤️
Other,Anime
Sadness,Coi đi coi lại mấy lần nhưng vẫn buồn
Sadness,Ước gì có main hồi sinh hai người sống bên nhau 😢😢😢😢
Sadness,Tội con bé bị đánh hoài 😅😅
Sadness,"Nhạc hợp phim wa, cho mình xin tên zới . Xem phim mà khóc nhỉ."
Sadness,Mới hẹn hò đã chia ly
Sadness,Hay nhüng höi buon
Sadness,"Hồi bé xem phim, chỉ thấy nam chính tự dưng biến mất, xong nữ chính ngồi khóc, cx khóc theo
Giờ xem lại, mới hiểu được hết ý nghĩa của bộ phim.
Cảm động thực sự"
Other,Tóm tắt phim ma thái lan đi  ạ
Sadness,Phim cảm động và buồn ước j cặp đôi đó đc ở bên nhau 😭
Sadness,"Bộ phim cảm động quá:(((
Tui khóc luôn rồi 😿"
Other,Có tập 2 không?
Other,"Sao lâu vậy mà tóc chị ấy ko dài ra nhỉ ,nếu dài ra thì sẽ xong hơn 🌽🥕🍞🥐🥖🌰🍄🍎🍅🍊🍋🍌🍍🥝🍓🍒🍑🍐🍎"
Other,😭😭😭 huhi
Other,Ch
Sadness,Buồn lắm cơ
Sadness,KhócTwT
Sadness,Cái ôm đầu tiên và cũng là cái ôm cuối cùng
Sadness,Sao mọi người khóc đc hay z :(( tui coi xong cũng thấy buồn nma không đến nỗi khóc
Other,Hi
Enjoyment,Hay đấy ☺️☺️☺️☺️☺️☺️
Other,Name pls?
Disgust,Ad để nhạc nền nhỏ thôi:))
Sadness,t muốn khóc
Sadness,"Buồn mà mún kiện ông tác giả:((
Trời ơi. Diễn biến chia xa đột ngột quá trời
Chắc tui chết:(("
Disgust,Nhỏ d tránh trong câu chuyện bị khùng à
Sadness,Coi bao nhiêu lần lần nào cũng khóc ^^
Sadness,"Đó là bài Nhật Bản mà,tôi quên mất tên rồi"
Enjoyment,Mình coi phiên bản chính rồi khi đó coi đến phần cuối thế là mình khóc đỏ mặt luôn ý phim này cảm động mà còn hay mình thích phim này
Sadness,Buồn quá 😔😔😔😔😔
Enjoyment,Có bn nào còn xem giống mình chào nhau nha mn mình chào mn  nha 😁😁
Sadness,Xem xong ngồi khóc như mưa 😭😭😭👻👻
Sadness,Híc híc
Enjoyment,Kênh này  cũng  có  phím cảm  động  đó  là  Tên cậu  là  gì 😇
Enjoyment,Tôi cứ  xem lại  xem đi  vì  hay quá  Đi kênh nay tom tắt  phim  thật  là  hay
Enjoyment,cj đăng nhìu video giống z nhaaa ><❤
Sadness,Tui xem muốn khóc nhưng ko khóc đc
Sadness,Huu
Sadness,1 bộ phim hay chắc cũng lấy đi nc mắt của nhiều người nếu họ đến đc với nhau chắc sẽ ko có cái kết buồn như z
Sadness,Huhuhuhuhuhu buồn quá
Sadness,Bộ phim này mik coi rồi và mik đã khóc rất nhiều
Sadness,Hay quá  muốn  khóc luôn
Sadness,"Phim này mình không có khóc, chỉ có cảm giác man mác buồn khó tả thôi."
Sadness,dù là hư cấu nhưng tôi đã khóc =((((
Other,CSCSCS
Sadness,😭😭😭
Surprise,wow hay quá😊😊
Surprise,Film hay thế nhể❤️
Enjoyment,"đg HAY VÀ QUÁ ĐẸP ĐÔI mừ😢
cái kết quá buồn cho chuyện tình."
Sadness,Đoạn cuối buồn rơi cả nước mắt :(
Sadness,i cry so much because gin is dead
Other,Phim này tên j v
Other,Ước j có phần 2 😿
Sadness,"Tui chỉ xem review thôi, xem đoạn ôm nhau mà khóc sướt mướt nửa tiếng :(((( Tui mít ướt quá không huhu :(((("
Other,Đom đóm của Jack.
Other,Liệu bây giờ Hotaru như thế nào rồi nhỉ còn vào khu rừng xanh đó nữa không
Other,Tác phẩm jack là đây chứ đâu đúng k đóm
Enjoyment,Anime xuất sắc
Sadness,Cám động quá chiếu nữa đi
Other,Chạm vào tha thằng đeo mặt nạ là nố mất bởi vì thằng đó là đom đóm cái này có bài hát
Other,Làm bộ tháng tư là lời nối dối của em đi ạ
Other,Thử yêu xa đi 🙃🙃😊
Sadness,Huhu cảm động púa 😢😫😭
Other,Em xem r
Other,roi
Other,❤❤❤😍😍😍
Sadness,Cảm động vãi
Other,Sao cô bé lại lạc ở đây??? 😊
Other,Ăn cái gậy của anh
Other,giống bài đom đóm của jack
Enjoyment,Xin tên bản nhạc nền đi admin hay quá...
Sadness,Tôi xém khóc
Sadness,Em rơi hết nước mắt rồi
Enjoyment,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
Enjoyment,❤️💙💚💛🧡💜💗💝😄
Other,Toc va vay len roi
Enjoyment,Quahay
Other,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
Sadness,Quá buồn luôn 😭
Sadness,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
Sadness,Xem bộ phim này tui buồn chết😭😭😭
Other,Toi xem phim nay roi
Enjoyment,Lãng mạn quá😞😞😞
Disgust,Phim này mình coi rồi hay nắm mà ko được tải chán thế
Other,Em xem từ hồi lớp2 òi
Other,Phim tên j vậy
Sadness,😣😣😣😣😣😓
Enjoyment,Phim hay quá 👍
Other,Hồi bữa tui coi gachaculd i chang như dầy luôn bây giờ mới tìm đc bản gốc
Enjoyment,Mik thích phim ni lắm luôn  á
Sadness,"Lại tháng tư tốn khăn giấy 
Nếu được mong AD làm ""Josse the tiger and the first"""
